연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도,읍면,주거적합점수,관광숙박적합점수,추천용도
103,전라남도 담양군 고서면 동운리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2346769599643,126.978292100385,정확(리 단위),고서면,12.0,29.9,관광·숙박(게스트하우스/카페)
104,전라남도 담양군 가사문학면 학선리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1893218064153,126.98387745098,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
105,전라남도 담양군 가사문학면 지곡리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1889583947471,127.009038425021,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
106,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1806374351576,127.029466301999,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
107,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1806374351576,127.029466301999,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
108,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1806374351576,127.029466301999,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
109,전라남도 담양군 가사문학면 연천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1806374351576,127.029466301999,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
110,전라남도 담양군 가사문학면 정곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1526462614998,127.022897701358,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
111,전라남도 담양군 가사문학면 정곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1526462614998,127.022897701358,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
112,전라남도 담양군 가사문학면 경상리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1536285061707,127.043504398435,정확(리 단위),가사문학면,5.0,19.1,관광·숙박(게스트하우스/카페)
