연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도
116,전라남도 담양군 가사문학면 구산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1355360204812,127.079668722563,정확(리 단위)
117,전라남도 담양군 가사문학면 구산리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1355360204812,127.079668722563,정확(리 단위)
118,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1605502160781,127.061789379142,정확(리 단위)
119,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.1605502160781,127.061789379142,정확(리 단위)
120,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1605502160781,127.061789379142,정확(리 단위)
121,전라남도 담양군 가사문학면 풍암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1792121998184,127.053661983989,정확(리 단위)
122,전라남도 담양군 가사문학면 풍암리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1792121998184,127.053661983989,정확(리 단위)
123,전라남도 담양군 가사문학면 풍암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1792121998184,127.053661983989,정확(리 단위)
124,전라남도 담양군 창평면 창평리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2370182061332,127.012058337755,정확(리 단위)
125,전라남도 담양군 창평면 삼천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2397996206605,127.024838211093,정확(리 단위)
126,전라남도 담양군 창평면 삼천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2397996206605,127.024838211093,정확(리 단위)
127,전라남도 담양군 창평면 용수리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2290135084429,127.034536888919,정확(리 단위)
128,전라남도 담양군 창평면 유천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2184776388612,127.023135846536,정확(리 단위)
129,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위)
130,전라남도 담양군 창평면 오강리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위)
131,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위)
132,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위)
133,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위)
134,전라남도 담양군 창평면 유곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.250217573419,126.988344061911,정확(리 단위)
135,전라남도 담양군 창평면 유곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.250217573419,126.988344061911,정확(리 단위)
136,전라남도 담양군 창평면 유곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.250217573419,126.988344061911,정확(리 단위)
137,전라남도 담양군 창평면 해곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2486400715294,126.975352475831,정확(리 단위)
138,전라남도 담양군 창평면 광덕리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2712085761289,126.995823530569,정확(리 단위)
139,전라남도 담양군 창평면 광덕리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2712085761289,126.995823530569,정확(리 단위)
140,전라남도 담양군 창평면 외동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1986861568321,127.029525527198,정확(리 단위)
141,전라남도 담양군 창평면 외동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1986861568321,127.029525527198,정확(리 단위)
142,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2508952980381,127.032089257512,정확(리 단위)
143,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2508952980381,127.032089257512,정확(리 단위)
144,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2508952980381,127.032089257512,정확(리 단위)
145,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2508952980381,127.032089257512,정확(리 단위)
146,전라남도 담양군 대덕면 장산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2605127272089,127.023987366863,정확(리 단위)
