연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자
207,전라남도 담양군 무정면 동산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
208,전라남도 담양군 무정면 동산리,2022,활용형,단독주택,미동의,도시과,2023-05-15
209,전라남도 담양군 무정면 동산리,2022,활용형,단독주택,동의,도시과,2023-05-15
210,전라남도 담양군 무정면 안평리,2022,활용형,단독주택,미동의,도시과,2023-05-15
211,전라남도 담양군 무정면 안평리,2022,활용형,단독주택,미동의,도시과,2023-05-15
212,전라남도 담양군 무정면 안평리,2022,활용형,단독주택,미동의,도시과,2023-05-15
213,전라남도 담양군 무정면 안평리,2022,활용형,단독주택,미동의,도시과,2023-05-15
214,전라남도 담양군 무정면 안평리,2022,활용형,단독주택,미동의,도시과,2023-05-15
215,전라남도 담양군 무정면 덕곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15
216,전라남도 담양군 무정면 서흥리,2022,활용형,단독주택,미동의,도시과,2023-05-15
217,전라남도 담양군 무정면 서흥리,2022,철거형,단독주택,미동의,도시과,2023-05-15
218,전라남도 담양군 무정면 정석리,2022,활용형,단독주택,미동의,도시과,2023-05-15
219,전라남도 담양군 무정면 정석리,2022,활용형,단독주택,미동의,도시과,2023-05-15
220,전라남도 담양군 무정면 오례리,2022,활용형,단독주택,미동의,도시과,2023-05-15
221,전라남도 담양군 무정면 오례리,2022,활용형,단독주택,미동의,도시과,2023-05-15
222,전라남도 담양군 무정면 오례리,2022,활용형,단독주택,미동의,도시과,2023-05-15
223,전라남도 담양군 무정면 오례리,2022,활용형,단독주택,미동의,도시과,2023-05-15
224,전라남도 담양군 금성면 원천리,2022,활용형,단독주택,미동의,도시과,2023-05-15
225,전라남도 담양군 금성면 석현리,2022,활용형,단독주택,미동의,도시과,2023-05-15
226,전라남도 담양군 금성면 석현리 산,2022,철거형,단독주택,미동의,도시과,2023-05-15
227,전라남도 담양군 금성면 대성리,2022,활용형,단독주택,미동의,도시과,2023-05-15
228,전라남도 담양군 금성면 대성리,2022,활용형,단독주택,미동의,도시과,2023-05-15
229,전라남도 담양군 금성면 원율리,2022,철거형,단독주택,미동의,도시과,2023-05-15
230,전라남도 담양군 금성면 원율리,2022,활용형,단독주택,미동의,도시과,2023-05-15
231,전라남도 담양군 금성면 원율리,2022,활용형,단독주택,미동의,도시과,2023-05-15
232,전라남도 담양군 금성면 금성리,2022,철거형,단독주택,미동의,도시과,2023-05-15
233,전라남도 담양군 금성면 덕성리,2022,활용형,단독주택,미동의,도시과,2023-05-15
234,전라남도 담양군 금성면 덕성리,2022,활용형,단독주택,미동의,도시과,2023-05-15
235,전라남도 담양군 금성면 덕성리,2022,활용형,단독주택,미동의,도시과,2023-05-15
236,전라남도 담양군 금성면 봉서리,2022,활용형,단독주택,미동의,도시과,2023-05-15
237,전라남도 담양군 금성면 봉서리,2022,활용형,단독주택,미동의,도시과,2023-05-15
238,전라남도 담양군 금성면 외추리,2022,활용형,단독주택,미동의,도시과,2023-05-15
